Country,Time,House Price Index,Income Index,Affordability Ratio
Slovak Republic,2024-Q1,250.46124689947322,161.42169846200943,155.16
Slovenia,2007-Q1,100.0,100.0,100.0
Slovenia,2007-Q2,102.98408318642855,100.0,102.98
Slovenia,2007-Q3,107.95414867615372,100.0,107.95
Slovenia,2007-Q4,113.34491539136282,100.0,113.34
Slovenia,2008-Q1,126.68386942932814,102.40010704716833,123.71
Slovenia,2008-Q2,121.6593001371111,102.40010704716833,118.81
Slovenia,2008-Q3,128.12311046387845,102.40010704716833,125.12
Slovenia,2008-Q4,137.79753540618105,102.40010704716833,134.57
Slovenia,2009-Q1,123.26034933530907,101.9340164420025,120.92
Slovenia,2009-Q2,128.96621615867417,101.9340164420025,126.52
Slovenia,2009-Q3,123.08150873338273,101.9340164420025,120.75
Slovenia,2009-Q4,122.41724364051333,101.9340164420025,120.09
Slovenia,2010-Q1,112.01127547414049,101.46125488240236,110.4
Slovenia,2010-Q2,118.11740459705508,101.46125488240236,116.42
Slovenia,2010-Q3,113.68045442545326,101.46125488240236,112.04
Slovenia,2010-Q4,113.46754894696946,101.46125488240236,111.83
Slovenia,2011-Q1,119.13935089377719,101.52282797263352,117.35
Slovenia,2011-Q2,110.46132359077862,101.52282797263352,108.8
Slovenia,2011-Q3,109.99293153811436,101.52282797263352,108.34
Slovenia,2011-Q4,109.49899082803196,101.52282797263352,107.86
Slovenia,2012-Q1,107.97458760208815,97.63042265167503,110.6
Slovenia,2012-Q2,110.0695775103685,97.63042265167503,112.74
Slovenia,2012-Q3,103.21402110319102,97.63042265167503,105.72
Slovenia,2012-Q4,109.35421510266303,97.63042265167503,112.01
Slovenia,2013-Q1,101.40858264564862,95.9011259112176,105.74
Slovenia,2013-Q2,95.06910911831584,95.9011259112176,99.13
Slovenia,2013-Q3,99.91824429626222,95.9011259112176,104.19
Slovenia,2013-Q4,101.40858264564862,95.9011259112176,105.74
Slovenia,2014-Q1,103.33324817114193,96.70382556049051,106.86
Slovenia,2014-Q2,93.32669068240463,96.70382556049051,96.51
Slovenia,2014-Q3,93.94837467957723,96.70382556049051,97.15
Slovenia,2014-Q4,96.7842756529811,96.70382556049051,100.08
Slovenia,2015-Q1,93.38630421638008,99.13125300944328,94.2
Slovenia,2015-Q2,90.13310850514806,99.13125300944328,90.92
Slovenia,2015-Q3,86.42003696039106,99.13125300944328,87.18
Slovenia,2015-Q4,88.11731943486369,99.13125300944328,88.89
Slovenia,2016-Q1,86.42003696039106,103.58096639866605,83.43
Slovenia,2016-Q2,88.60529879154849,103.58096639866605,85.54
Slovenia,2016-Q3,89.54548938453284,103.58096639866605,86.45
Slovenia,2016-Q4,91.66006659683366,103.58096639866605,88.49
Slovenia,2017-Q1,92.68797424695332,106.94027934006367,86.67
Slovenia,2017-Q2,96.55689260196041,106.94027934006367,90.29
Slovenia,2017-Q3,98.00209498990827,106.94027934006367,91.64
Slovenia,2017-Q4,101.27487800516082,106.94027934006367,94.7
Slovenia,2018-Q1,109.1694131473391,111.42392082020025,97.98
Slovenia,2018-Q2,107.24219275610398,111.42392082020025,96.25
Slovenia,2018-Q3,107.71058480876829,111.42392082020025,96.67
Slovenia,2018-Q4,112.07088900811596,111.42392082020025,100.58
Slovenia,2019-Q1,113.56974357664168,116.922038396234,97.13
Slovenia,2019-Q2,114.69388450303599,116.922038396234,98.09
Slovenia,2019-Q3,116.52487161799647,116.922038396234,99.66
Slovenia,2019-Q4,118.45805336262913,116.922038396234,101.31
Slovenia,2020-Q1,120.11786447288858,122.65308247714428,97.93
Slovenia,2020-Q2,122.03401377924254,122.65308247714428,99.5
Slovenia,2020-Q3,121.53155685002083,122.65308247714428,99.09
Slovenia,2020-Q4,124.49520111051497,122.65308247714428,101.5
Slovenia,2021-Q1,129.17912163715795,127.87189313418395,101.02
Slovenia,2021-Q2,135.64293196392526,127.87189313418395,106.08
Slovenia,2021-Q3,139.42413326179707,127.87189313418395,109.03
Slovenia,2021-Q4,146.86730878958977,127.87189313418395,114.86
Slovenia,2022-Q1,154.88873559694437,128.10505600074737,120.91
Slovenia,2022-Q2,159.03613431780826,128.10505600074737,124.15
Slovenia,2022-Q3,161.41215945768712,128.10505600074737,126.0
Slovenia,2022-Q4,164.52057944355022,128.10505600074737,128.43
Slovenia,2023-Q1,164.88677686654233,128.7556305471916,128.06
Slovenia,2023-Q2,168.65946194527476,128.7556305471916,130.99
Slovenia,2023-Q3,168.08035904379892,128.7556305471916,130.54
Slovenia,2023-Q4,174.1694557284348,128.7556305471916,135.27
Slovenia,2024-Q1,179.6794495115948,133.37951258868475,134.71
Spain,2005-Q4,100.0,100.0,100.0
Spain,2006-Q1,104.20459347002497,102.43343255315975,101.73
Spain,2006-Q2,109.65459454426963,102.43343255315975,107.05
Spain,2006-Q3,112.76274233168377,102.43343255315975,110.08
Spain,2006-Q4,115.35525269814441,102.43343255315975,112.61
Spain,2007-Q1,117.71142924666805,104.70428510207361,112.42
Spain,2007-Q2,120.92700149678083,104.70428510207361,115.49
Spain,2007-Q3,121.22062836149048,104.70428510207361,115.77
Spain,2007-Q4,118.1482887283092,104.70428510207361,112.84
Spain,2008-Q1,116.94513474608436,107.0224080607079,109.27
